epoch,accuracy,loss,val_accuracy,val_loss
0,0.6417768597602844,1.342210292816162,0.6197155117988586,1.2071360349655151
1,0.734375,0.827905535697937,0.65177321434021,0.9700766205787659
2,0.7748898267745972,0.7481076121330261,0.7231015563011169,0.9654927849769592
3,0.805588960647583,0.7371702790260315,0.8128631711006165,0.6965125799179077
4,0.8295272588729858,0.719778299331665,0.7790021896362305,0.7665680050849915
5,0.8520132303237915,0.6578149199485779,0.7970346808433533,0.842136561870575
6,0.8624299168586731,0.6702685952186584,0.7609697580337524,0.8575237393379211
7,0.8766526579856873,0.5917317271232605,0.8320977687835693,0.6879083514213562
8,0.8864683508872986,0.547616720199585,0.8469244837760925,0.5912430286407471
9,0.8875700831413269,0.5116528868675232,0.7531557083129883,0.7535536289215088
